2223,Financial Investment Advisers & Managers,4,0,6,3,8,5,19,3,0,32,1760,48,111,6,85,15,17,0,0,2126
2231,Human Resource Professionals,9,55,145,64,53,20,58,24,37,17,82,9,243,1343,472,221,296,31,241,3421
2232,ICT Trainers,0,3,5,7,0,4,9,0,0,11,0,0,40,0,13,48,21,0,3,165
2233,Training & Development Professionals,9,60,116,43,25,33,45,27,30,25,99,6,90,61,327,335,150,7,57,1546
2241,"Actuaries, Mathematicians & Statisticians",0,0,3,0,0,0,0,0,0,6,20,0,134,0,82,86,20,3,0,355
2242,"Archivists, Curators & Records Managers",4,0,6,4,0,4,8,3,4,11,12,4,34,6,133,36,87,49,6,412
2243,Economists,0,5,5,4,0,0,0,0,3,0,10,0,29,0,43,21,0,0,0,121
2244,Intelligence & Policy Analysts,0,12,4,10,4,0,0,0,0,3,19,15,42,0,749,46,81,0,14,1001
2245,Land Economists & Valuers,0,4,4,15,78,14,17,6,5,3,18,321,30,3,162,4,8,0,0,695
2246,Librarians,0,3,3,5,0,0,0,0,3,148,1,0,33,0,223,266,33,4,9,733
2247,Management & Organisation Analysts,18,69,221,94,25,78,52,17,39,77,257,18,743,85,352,146,148,6,32,2478
2249,Other Information & Organisation Professionals,3,20,36,30,3,10,11,0,9,14,33,11,150,13,526,55,78,7,19,1030
2251,Advertising & Marketing Professionals,21,15,271,20,36,150,132,36,17,104,97,22,584,79,112,162,77,63,45,2045
2252,ICT Sales Professionals,0,0,9,0,0,117,87,0,0,110,1,0,165,7,8,9,8,0,5,528
2253,Public Relations Professionals,4,11,27,19,0,12,38,15,5,48,19,4,165,13,203,89,117,43,53,885
2254,Technical Sales Representatives,20,12,477,34,26,876,212,4,8,9,9,8,39,12,16,26,93,4,33,1919
2311,Air Transport Professionals,19,5,6,0,3,0,0,6,400,0,0,0,5,11,203,107,25,0,0,792
2312,Marine Transport Professionals,117,10,36,5,15,15,0,0,257,0,0,0,16,4,25,3,2,0,4,511
2321,Architects & Landscape Architects,3,0,10,1,97,6,7,0,1,1,0,5,816,7,53,11,5,2,0,1025
2322,Cartographers & Surveyors,7,51,8,35,50,5,5,0,8,1,0,5,345,5,168,11,4,1,0,707
