ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
1211,Aquaculture Farmers,511,790,605,549,263,140,507,630,597,419,257,76,398,634,596,368,258,77,47,79,66,79,35,13,318,267,0,10,0,1,21,5,0,0,0,0,0,1,0,1,4,1,0,0,312,43,19,84,13,145,303,125,80,70,22,12,0,308,309,5,314,1,1,9,236,0,19,15,8,12,9,1,6,320,2,3,4,3,3,5,42,43,37,35,40,34
1212,Crop Farmers,"9,907","8,976","7,492","5,847","7,732","4,808","7,933","7,058","6,385","4,526","6,183","3,946","8,139","7,130","6,759","3,952","5,992","3,938",203,706,"1,323","1,508","1,529",967,"6,235","5,320",3,404,4,32,150,61,11,27,5,13,9,20,22,14,12,21,1,11,"6,140",616,484,899,98,"3,840","5,936","2,341","1,410","1,287",410,500,151,"6,099","6,171",17,"6,188",352,646,180,447,9,250,427,"1,457",849,434,156,"1,026","6,236",32,47,67,49,64,82,508,472,465,330,522,460
1213,Livestock Farmers,"7,298","13,434","8,836","6,194","8,569","6,362","5,767","9,496","6,927","4,048","6,040","4,857","5,611","10,827","7,180","4,636","6,151","4,573",207,536,909,"1,264","1,430","1,240","5,585","5,101",2,112,3,26,72,27,8,20,7,12,9,15,13,12,12,22,7,11,"5,494",494,439,865,76,"3,457","5,330","1,978","1,369","1,274",449,387,20,"5,476","5,496",29,"5,526",393,304,93,220,256,805,"1,875",769,92,150,37,592,"5,586",48,45,72,53,61,77,322,309,328,276,394,379
1214,Mixed Crop & Livestock Farmers,"4,652","4,604","5,152","4,590","6,119","7,160","3,266","3,851","4,129","3,984","5,202","6,051","4,061","4,031","4,404","4,191","5,193","6,077",209,784,"1,160","1,525","1,568","1,045","6,291","5,967",3,42,7,21,38,18,5,22,5,9,4,10,14,18,11,22,1,8,"6,224",388,410,971,109,"4,173","6,051","2,136","1,817","1,403",433,406,11,"6,205","6,228",15,"6,244",71,297,56,"1,429",26,202,740,"1,131",65,65,33,"2,173","6,289",33,48,68,50,59,79,497,455,462,400,588,562
1311,Advertising & Sales Managers,"5,766","6,935","6,546","6,847","8,198","7,537","4,058","5,083","4,646","4,598","6,364","5,369","5,229","6,035","5,930","6,513","7,674","6,921",130,"1,335","1,993","1,647",868,127,"6,100",68,30,"1,172",111,259,"1,105",641,134,177,244,408,107,501,219,182,194,156,102,160,"5,968","1,986",849,"1,061",75,"1,947","5,918","4,256","1,129",551,80,26,0,"6,042","6,077",5,"6,082",381,183,"1,427",60,28,75,106,85,"1,024","1,675",967,82,"6,100",0,0,0,0,0,0,451,488,510,490,559,587
1321,Corporate Services Managers,477,"1,490","2,609","1,032",669,461,169,583,949,206,179,155,434,"1,313","2,323",776,530,364,8,73,157,208,120,12,577,8,4,32,18,29,28,30,6,16,4,30,9,46,20,133,32,83,10,25,563,221,103,86,5,147,562,393,129,51,0,0,0,574,575,3,579,29,19,116,15,7,12,19,19,100,148,78,14,576,22,17,8,3,214,282,24,23,24,25,32,40
1322,Finance Managers,"3,059","2,643","2,776","3,156","3,994","3,367","1,884","1,207","1,381","1,340","2,072","1,741","2,806","2,051","2,241","2,652","3,333","3,114",15,400,888,863,478,81,"2,726",41,67,337,74,171,168,123,49,86,61,397,53,265,74,263,152,195,48,75,"2,697","1,378",463,226,14,587,"2,668","2,100",395,189,17,5,0,"2,707","2,715",4,"2,718",161,80,657,44,11,42,55,53,440,735,407,41,"2,729",46,36,17,7,451,593,68,71,70,76,81,91
1323,Human Resource Managers,"3,244","3,791","2,668","3,237","2,289","3,669",950,"1,105","1,187","1,411","1,277","1,467","3,112","3,204","2,546","2,915","2,106","3,136",57,379,735,803,395,38,"2,408",23,84,291,78,124,78,124,50,82,49,113,16,194,199,322,203,240,30,74,"2,373","1,039",543,319,25,435,"2,360","1,674",452,223,27,12,0,"2,388","2,383",17,"2,400",147,100,489,43,34,34,49,25,440,639,372,35,"2,408",38,29,14,6,372,489,217,209,215,163,247,266
1324,Policy & Planning Managers,"1,551",369,"1,006","1,253","1,298","1,646",805,334,428,665,630,"1,114","1,519",369,"1,004","1,155","1,246","1,289",8,121,235,259,177,15,815,7,8,24,30,13,8,9,4,17,5,40,7,35,7,506,20,53,8,11,811,554,106,62,0,80,802,668,99,39,5,0,0,812,804,13,817,61,19,213,7,3,5,9,9,130,220,134,8,817,15,12,5,2,146,192,8,7,8,10,12,16
1325,Research & Development Managers,851,344,745,650,519,768,655,262,357,266,352,295,738,329,510,601,457,666,10,96,191,231,120,16,664,6,9,92,21,12,14,12,1,9,9,22,5,110,12,120,121,54,11,12,651,455,76,60,5,51,647,557,66,21,7,4,0,655,656,4,661,47,18,179,14,4,7,9,4,107,160,111,4,665,11,8,4,2,104,136,24,24,24,27,27,29
