ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
1491,"Amusement, Fitness & Sports Centre Managers",495,789,347,607,"1,182",387,252,192,219,560,353,105,359,276,281,568,"1,022",387,46,132,140,124,72,14,529,0,4,6,0,1,1,15,44,1,0,1,0,1,8,30,49,25,311,22,520,99,69,141,10,186,506,342,108,60,5,3,0,519,525,3,528,24,21,75,14,13,13,20,23,102,128,88,9,531,0,0,0,0,0,0,65,66,73,70,84,118
1492,Call or Contact Centre & Customer Service Managers,"2,312","2,276","2,846","2,382","2,169","1,468","1,650","1,272","1,853","1,334","1,031",968,"2,225","2,157","2,569","2,220","1,912","1,381",88,457,655,604,287,23,"2,114",6,8,183,52,104,158,363,50,82,104,144,35,97,86,185,32,124,29,236,"2,077",351,281,680,31,712,"2,054","1,180",584,274,40,14,1,"2,093","2,098",8,"2,107",121,83,307,47,26,25,48,56,541,506,313,36,"2,114",0,0,0,0,0,0,213,235,246,237,272,303
1493,Conference & Event Organisers,"1,492","1,535","1,097","1,380","1,785","1,077",557,57,117,886,488,154,"1,117",921,748,"1,232","1,475",590,128,364,223,154,91,17,978,4,0,32,4,6,6,24,185,5,13,15,42,56,181,89,73,49,107,67,957,284,190,144,12,317,947,731,143,80,11,5,0,969,970,5,975,52,37,209,11,5,17,17,15,147,273,190,7,978,0,0,0,0,0,0,117,113,115,113,144,169
1494,Transport Services Managers,"1,166",917,"1,016","1,157",938,"1,315","1,042",746,865,850,782,"1,216","1,074",793,803,861,735,945,13,99,198,280,228,60,878,8,6,33,19,29,19,24,5,571,1,4,61,10,7,40,7,11,3,11,870,54,53,199,7,524,836,314,249,196,60,38,3,860,871,0,871,42,55,81,30,7,20,52,36,231,166,122,34,876,0,0,2,19,8,5,46,43,43,30,46,47
1499,"Other Hospitality, Retail & Service Managers","4,606","4,449","4,493","3,904","4,702","5,055","3,212","3,258","3,186","2,592","2,965","2,856","3,978","3,774","3,949","3,432","4,066","3,938",98,580,"1,004","1,211",773,138,"3,802",28,11,198,90,146,100,104,87,159,85,"1,117",307,165,194,358,127,220,69,189,"3,756",653,558,979,74,"1,414","3,678","2,132",931,559,101,39,2,"3,763","3,779",14,"3,793",220,157,540,106,85,107,152,134,716,952,488,139,"3,800",0,0,0,0,0,0,253,284,293,293,314,319
2111,"Actors, Dancers & Other Entertainers",151,147,302,498,307,283,50,58,1,239,119,180,50,0,56,142,12,98,98,86,68,41,36,29,358,0,0,5,0,4,0,8,35,0,15,0,3,9,0,5,54,17,178,11,344,100,45,42,9,151,347,239,53,43,13,5,4,356,346,5,352,20,15,101,3,1,7,5,1,49,91,59,4,356,0,0,0,0,0,0,35,34,36,34,38,37
2112,Music Professionals,676,592,449,528,617,853,289,455,416,333,342,542,247,290,150,297,206,352,49,132,136,102,64,25,508,0,0,2,0,4,3,4,21,0,10,0,0,2,0,37,63,11,323,14,495,244,60,43,0,144,491,392,62,45,6,1,0,506,504,5,509,42,8,152,5,1,11,1,11,64,118,90,6,510,0,0,0,0,0,0,66,66,66,60,64,63
2113,Photographers,678,712,984,"1,312","1,182","1,030",265,646,403,"1,131",791,432,307,712,751,"1,019",833,495,90,151,185,143,89,25,684,0,0,3,0,1,4,16,6,0,50,0,9,451,4,38,7,8,43,37,677,144,140,110,13,239,646,472,122,63,7,6,0,671,679,3,682,55,25,142,8,8,20,6,13,131,168,94,10,683,0,0,0,0,0,0,129,127,129,140,151,150
2114,Visual Arts & Crafts Professionals,658,521,782,"1,268",795,631,272,256,455,341,537,111,230,282,629,553,592,53,17,42,94,129,128,65,474,0,0,91,0,16,12,35,1,0,9,0,0,7,3,1,6,7,261,0,450,156,69,49,4,180,458,261,82,59,14,32,17,465,406,62,468,43,11,98,15,53,40,6,10,43,87,47,21,474,0,0,0,0,0,0,14,13,14,19,19,21
2121,"Artistic Directors, & Media Producers & Presenters",698,314,666,977,470,695,490,199,426,419,279,489,426,166,399,875,257,404,53,112,128,114,65,16,489,0,0,3,0,0,0,3,6,0,253,3,0,72,7,1,13,7,102,11,483,188,77,50,8,153,476,373,71,28,3,6,0,482,478,6,485,35,3,181,3,4,4,8,11,52,99,83,6,489,0,0,0,0,0,0,51,48,50,50,56,51
2122,"Authors, & Book & Script Editors",248,103,421,91,598,245,174,43,10,0,248,240,117,43,44,5,124,52,4,27,48,46,46,28,198,0,0,0,0,0,5,5,0,0,55,0,0,16,1,7,17,0,84,6,195,139,20,14,0,23,196,175,11,9,0,0,0,194,195,0,195,23,10,57,0,0,10,0,0,19,51,26,0,198,0,0,0,0,0,0,0,0,0,0,0,0
2123,"Film, Television, Radio & Stage Directors",569,588,295,543,409,431,381,460,241,284,240,353,484,459,119,295,256,261,61,111,130,92,43,11,446,0,0,12,0,0,4,0,0,0,298,5,0,31,6,1,15,0,50,10,433,165,53,63,12,138,430,346,62,30,3,0,0,442,444,0,444,31,3,133,4,0,9,6,6,65,99,83,6,445,0,0,0,0,0,0,46,42,47,46,54,50
2124,Journalists & Other Writers,802,869,"1,429",860,"1,575","1,356",564,378,"1,048",293,777,677,469,630,899,587,"1,242","1,016",136,288,259,232,165,58,"1,138",0,6,42,9,7,5,5,0,7,659,10,5,115,16,48,40,16,109,20,"1,120",640,104,87,9,256,"1,095",967,106,42,8,0,1,"1,124","1,133",0,"1,133",94,16,313,28,16,24,36,35,110,257,165,43,"1,138",0,0,0,0,0,0,27,27,29,30,37,39
2211,Accountants,"9,367","8,530","11,062","11,216","11,044","8,679","5,368","4,951","6,575","6,501","5,528","4,504","8,049","7,246","9,161","9,806","8,336","6,715",680,"2,498","2,131","1,525","1,089",343,"8,266",62,150,640,211,152,235,244,56,151,51,535,76,"4,185",100,666,229,289,37,93,"8,163","5,890","1,146",296,23,733,"8,089","7,199",665,272,29,21,10,"8,196","8,219",16,"8,236",337,182,"2,379",133,29,88,204,120,"1,429","1,975","1,296",87,"8,264",0,0,0,0,11,11,65,77,75,77,97,121
2212,"Auditors, Company Secretaries & Corporate Treasurers",920,"1,126",600,932,"1,103","1,171",545,440,165,615,789,704,748,865,493,832,793,801,69,285,200,235,155,31,975,3,16,36,29,3,17,22,4,17,5,128,3,250,7,373,20,30,4,5,973,575,126,84,5,171,962,788,114,52,6,3,3,967,970,4,974,38,16,226,0,4,7,6,7,210,254,202,5,975,0,0,0,0,0,0,26,27,27,29,31,36
2221,Financial Brokers,"1,951","1,665","1,273","1,849","1,965","1,788","1,207","1,201",623,"1,317","1,497","1,136","1,258","1,172","1,033","1,777","1,695","1,369",76,279,375,345,260,59,"1,394",26,3,35,8,7,71,14,0,9,4,"1,151",6,26,4,7,8,2,0,3,"1,385",234,482,226,35,353,"1,329",933,306,121,11,4,0,"1,374","1,386",3,"1,389",78,31,311,36,4,18,42,36,251,362,194,26,"1,393",0,0,0,0,0,0,322,335,323,335,327,302
2222,Financial Dealers,"1,810","1,703","1,866","1,044",542,466,801,867,287,744,440,418,"1,224","1,196","1,261",818,432,253,21,144,176,125,67,23,557,0,3,7,5,3,3,13,0,0,0,440,0,20,3,24,7,8,0,4,541,252,79,54,7,151,543,441,75,33,4,0,0,553,553,0,553,25,12,197,10,0,7,13,6,72,123,80,11,556,0,0,0,0,0,0,68,73,73,71,71,65
2223,Financial Investment Advisers & Managers,"2,735","2,335","2,538","2,150","3,857","2,576","1,443","1,596","1,958","1,577","1,943","1,402","2,262","1,877","2,267","1,682","2,759","2,430",98,558,538,476,354,117,"2,141",4,0,6,3,8,5,19,3,0,32,"1,760",48,111,6,85,15,17,0,0,"2,126",852,817,125,14,285,"2,092","1,689",297,128,15,3,0,"2,133","2,125",4,"2,129",136,47,615,29,17,24,46,30,326,533,308,31,"2,143",0,0,0,0,31,87,410,428,414,435,413,383
2231,Human Resource Professionals,"2,655","3,992","4,085","2,328","2,897","2,880","1,065","1,123","1,244",304,593,"1,253","2,334","2,973","3,327","1,602","2,442","2,222",268,"1,088",915,713,401,67,"3,451",9,55,145,64,53,20,58,24,37,17,82,9,243,"1,343",472,221,296,31,241,"3,421","1,149",592,650,81,908,"3,380","2,432",606,320,55,10,0,"3,424","3,381",57,"3,438",134,112,625,88,72,47,55,76,775,834,555,71,"3,449",24,18,18,16,1,7,435,459,479,472,559,685
2232,ICT Trainers,42,300,241,201,53,275,42,57,150,100,52,275,42,300,165,149,53,275,12,24,45,44,30,9,164,0,3,5,7,0,4,9,0,0,11,0,0,40,0,13,48,21,0,3,165,49,35,31,7,37,159,126,24,11,3,0,0,165,164,0,164,14,3,36,3,0,4,3,0,32,45,23,0,164,0,0,0,0,0,0,5,5,5,6,7,10
2233,Training & Development Professionals,"1,650","2,198",982,"1,875","1,466","2,394",737,874,385,666,444,"1,454","1,318","1,891",771,"1,370","1,250","1,951",60,316,444,429,261,48,"1,557",9,60,116,43,25,33,45,27,30,25,99,6,90,61,327,335,150,7,57,"1,546",558,291,401,18,255,"1,524","1,042",311,165,19,8,0,"1,546","1,535",19,"1,554",89,59,257,35,41,16,21,17,333,427,224,39,"1,559",0,0,0,0,0,0,88,88,92,99,123,256
2241,"Actuaries, Mathematicians & Statisticians",792,513,801,330,149,522,236,288,291,205,90,427,407,308,720,329,104,333,20,123,94,55,51,12,356,0,0,3,0,0,0,0,0,0,6,20,0,134,0,82,86,20,3,0,355,314,18,4,0,22,357,335,11,8,0,0,0,354,353,3,356,24,3,89,3,0,3,0,3,80,103,47,0,356,0,0,0,0,0,0,0,0,0,0,0,0
2242,"Archivists, Curators & Records Managers",308,669,513,417,482,329,78,301,174,201,165,50,265,303,398,315,431,233,14,98,112,96,78,14,413,4,0,6,4,0,4,8,3,4,11,12,4,34,6,133,36,87,49,6,412,191,46,78,12,71,399,302,80,31,0,0,0,413,402,6,408,20,13,93,3,0,9,7,5,76,90,84,13,415,0,0,0,0,0,0,20,20,23,24,26,33
2243,Economists,132,49,119,250,212,1,92,0,118,198,46,0,132,49,1,198,156,1,3,35,38,24,20,0,120,0,5,5,4,0,0,0,0,3,0,10,0,29,0,43,21,0,0,0,121,112,6,0,0,3,121,116,3,3,0,0,0,122,120,0,120,3,3,58,0,0,0,0,3,15,28,8,3,121,0,0,0,0,0,0,0,0,0,0,0,0
2244,Intelligence & Policy Analysts,784,728,"1,435","1,484","1,061","1,076",303,305,629,481,286,199,695,654,"1,093","1,023",769,656,33,280,280,236,164,17,"1,010",0,12,4,10,4,0,0,0,0,3,19,15,42,0,749,46,81,0,14,"1,001",790,81,45,5,85,"1,006",887,80,36,4,0,0,"1,006",986,24,"1,010",81,24,286,0,0,12,4,8,159,256,178,3,"1,012",0,0,0,0,0,0,19,19,21,26,29,37
2245,Land Economists & Valuers,839,796,777,495,869,852,655,743,533,398,763,596,654,679,471,347,675,612,42,152,148,169,144,46,701,0,4,4,15,78,14,17,6,5,3,18,321,30,3,162,4,8,0,0,695,391,85,79,6,123,685,534,99,40,7,10,0,690,691,4,695,42,14,233,9,12,22,11,16,69,168,84,19,700,0,0,0,0,0,0,19,23,25,23,26,29
2246,Librarians,"1,356",863,939,"1,037",443,700,123,63,54,443,2,1,"1,023",747,493,881,291,238,13,88,152,239,207,36,736,0,3,3,5,0,0,0,0,3,148,1,0,33,0,223,266,33,4,9,733,564,63,22,4,71,725,637,51,39,0,5,0,732,733,0,733,48,16,177,13,4,17,12,14,106,187,117,24,736,0,0,0,0,0,0,11,11,13,12,12,13
2247,Management & Organisation Analysts,"2,147","2,261","1,934","1,751","2,684","2,499","1,686","1,836","1,154",992,"1,664","1,409","1,989","1,930","1,442","1,694","2,089","2,014",66,581,686,637,435,99,"2,504",18,69,221,94,25,78,52,17,39,77,257,18,743,85,352,146,148,6,32,"2,478","1,392",352,264,15,439,"2,462","2,001",336,134,18,4,0,"2,494","2,480",10,"2,490",173,76,604,33,21,23,31,22,460,675,348,34,"2,505",7,129,91,359,58,23,149,167,166,145,177,189
2249,Other Information & Organisation Professionals,798,"1,146","1,809",930,908,"1,059",471,770,"1,015",477,538,558,759,"1,102","1,654",829,712,895,69,265,268,241,162,42,"1,047",3,20,36,30,3,10,11,0,9,14,33,11,150,13,526,55,78,7,19,"1,030",548,105,115,10,241,"1,020",794,163,68,13,4,0,"1,042",998,41,"1,039",60,20,252,14,13,14,7,19,180,255,190,20,"1,045",0,0,0,0,0,0,83,100,103,97,104,110
2251,Advertising & Marketing Professionals,"1,732","1,074","1,630","2,006","1,581","1,987","1,048",431,777,699,358,456,"1,145",975,"1,229","1,416",821,"1,474",208,768,521,347,191,49,"2,084",21,15,271,20,36,150,132,36,17,104,97,22,584,79,112,162,77,63,45,"2,045","1,037",281,216,29,462,"2,024","1,724",227,94,15,6,0,"2,066","2,068",7,"2,075",123,60,639,16,4,32,34,24,279,491,353,30,"2,085",0,3,1,14,6,4,196,226,245,230,246,253
2252,ICT Sales Professionals,85,330,612,631,890,"1,004",45,165,480,449,758,754,85,277,448,579,889,727,52,171,164,93,43,7,530,0,0,9,0,0,117,87,0,0,110,1,0,165,7,8,9,8,0,5,528,165,71,66,10,205,516,418,72,31,7,0,0,528,530,0,530,24,10,121,4,0,0,3,9,105,151,97,5,529,0,0,0,0,0,0,61,80,82,77,78,80
2253,Public Relations Professionals,"1,060",821,650,"1,319","1,184","1,438",513,398,224,283,297,500,885,653,470,"1,020",992,"1,073",125,308,218,143,90,16,902,4,11,27,19,0,12,38,15,5,48,19,4,165,13,203,89,117,43,53,885,505,83,92,5,188,873,753,100,34,11,3,0,901,887,10,897,58,23,300,4,4,10,4,11,127,186,166,10,903,0,0,0,0,0,0,58,73,80,85,107,102
2254,Technical Sales Representatives,706,"2,360","2,699","2,064","3,245","2,551",456,"1,781","2,185","1,620","2,471","1,677",705,"2,153","2,387","1,903","2,934","2,255",80,471,565,497,298,63,"1,974",20,12,477,34,26,876,212,4,8,9,9,8,39,12,16,26,93,4,33,"1,919",531,248,475,22,629,"1,906","1,248",434,228,32,14,0,"1,956","1,961",0,"1,961",108,60,339,33,3,25,45,38,365,563,343,51,"1,973",0,0,0,0,0,0,201,212,222,178,245,277
2311,Air Transport Professionals,690,585,898,885,540,238,689,410,830,880,536,235,571,511,790,612,322,237,64,249,194,167,95,26,794,19,5,6,0,3,0,0,6,400,0,0,0,5,11,203,107,25,0,0,792,278,255,105,5,122,765,652,83,50,0,6,0,791,793,0,793,45,33,164,6,37,7,14,9,168,151,154,5,797,0,0,0,0,39,25,120,100,102,42,71,47
2312,Marine Transport Professionals,556,"1,246",880,919,375,857,516,"1,073",878,915,372,855,556,"1,065",879,860,374,856,23,96,106,142,109,40,516,117,10,36,5,15,15,0,0,257,0,0,0,16,4,25,3,2,0,4,511,49,102,163,38,99,450,202,120,139,27,19,0,506,510,7,517,20,7,29,145,0,25,33,52,33,62,70,36,517,0,0,0,2,0,3,186,155,117,104,140,127
2321,Architects & Landscape Architects,656,946,"1,778","1,114","1,298","1,391",558,560,"1,212",935,889,991,558,626,"1,299",939,"1,073",749,47,311,256,190,168,59,"1,030",3,0,10,1,97,6,7,0,1,1,0,5,816,7,53,11,5,2,0,"1,025",878,71,27,0,36,"1,012",966,43,14,0,0,0,"1,023","1,024",1,"1,025",89,13,445,5,0,9,12,0,80,213,155,9,"1,030",0,0,0,0,0,0,40,38,36,28,38,32
2322,Cartographers & Surveyors,646,884,755,411,"1,027","1,070",645,806,686,294,910,864,646,884,753,310,930,"1,016",47,197,201,154,102,19,719,7,51,8,35,50,5,5,0,8,1,0,5,345,5,168,11,4,1,0,707,366,182,56,4,97,704,615,69,31,0,0,0,715,708,9,716,60,21,128,8,15,20,15,19,115,212,102,4,720,0,0,0,0,0,0,59,81,87,98,101,90
2323,"Fashion, Industrial & Jewellery Designers",411,124,377,495,285,396,365,4,56,443,184,337,325,70,115,494,185,274,20,89,74,52,41,9,285,0,0,168,0,5,17,31,0,0,0,0,0,43,0,2,2,0,8,3,279,134,57,41,0,47,279,222,36,20,0,0,0,278,281,0,282,19,4,74,3,3,3,3,3,45,69,56,3,286,0,0,0,0,0,0,29,23,21,27,28,25
2324,"Graphic & Web Designers, & Illustrators","2,714","1,711","2,094","2,520","2,187","2,833","1,504","1,160","1,182","1,311","1,473","1,459","2,160","1,412","1,227","1,805","1,267","2,152",257,778,542,297,148,23,"2,046",1,7,338,2,28,34,63,4,7,254,9,14,944,22,62,78,32,83,18,"1,998",807,491,309,34,367,"2,008","1,690",233,96,16,5,0,"2,040","2,030",8,"2,039",117,43,503,26,6,23,51,26,333,530,363,21,"2,048",2,1,0,4,2,1,254,246,241,291,288,277
2325,Interior Designers,146,863,410,271,337,588,94,58,72,1,51,270,146,812,202,166,333,584,43,118,127,84,53,10,435,0,0,69,0,51,13,77,3,0,0,0,0,201,0,5,5,0,5,0,433,202,67,76,3,73,422,327,65,34,5,0,0,431,433,0,434,34,9,134,3,0,10,3,0,57,127,57,0,435,0,0,0,0,0,0,51,52,51,54,55,53
2326,Urban & Regional Planners,580,447,"1,166","1,228",821,840,274,258,589,673,579,493,383,447,987,"1,111",815,735,40,187,174,109,88,14,611,3,0,7,15,16,1,1,0,18,0,0,8,123,1,404,6,3,1,0,608,477,54,20,0,46,597,547,45,13,3,0,0,608,608,0,608,49,22,169,8,6,22,13,7,76,139,89,10,610,0,0,0,0,0,0,0,0,0,0,0,0
2331,Chemical & Materials Engineers,319,389,364,399,186,482,277,191,271,335,184,159,231,324,360,297,183,376,25,79,65,47,27,10,255,0,33,64,67,7,0,0,0,1,0,0,0,50,0,15,8,0,0,1,247,200,17,17,0,14,248,232,12,7,0,0,0,252,251,0,251,6,6,66,9,8,0,4,1,56,54,40,4,255,0,0,0,0,0,0,0,0,0,0,0,0
2332,Civil Engineering Professionals,"2,482","1,934","1,790","3,031","2,153","2,540","2,234","1,932","1,764","2,586","1,987","2,206","2,357","1,933","1,708","2,925","2,044","2,435",205,712,485,326,237,92,"2,057",1,35,148,74,377,11,3,0,67,6,5,5,916,9,331,24,3,1,9,"2,026","1,656",150,116,4,102,"2,028","1,885",94,52,6,6,0,"2,042","2,047",6,"2,052",95,37,634,25,23,21,20,16,360,480,323,17,"2,059",0,0,0,0,0,0,74,79,86,72,143,226
2333,Electrical Engineers,"1,103","1,068","1,154","1,124",983,"1,467","1,060","1,067","1,142",993,862,"1,298","1,061","1,067","1,140","1,121",923,"1,417",82,275,215,171,114,23,879,0,29,183,207,52,11,0,0,15,4,0,0,262,6,61,15,1,1,15,861,652,94,84,0,40,871,776,66,30,0,1,0,874,872,1,873,31,22,196,42,22,11,11,5,196,191,142,4,879,0,0,0,0,0,0,2,7,8,12,20,27
2334,Electronics Engineers,720,831,911,669,516,887,672,830,905,661,514,823,595,723,839,668,459,887,20,124,134,143,63,19,503,0,2,205,3,10,16,4,0,6,10,0,0,116,0,93,15,1,0,9,490,371,74,38,0,13,496,449,34,12,0,1,0,495,498,4,502,27,27,128,2,1,4,1,4,136,95,79,1,505,0,0,0,0,0,0,1,4,5,7,12,16
2335,"Industrial, Mechanical & Production Engineers","1,965","1,314","1,878","2,140","2,149","2,391","1,930","1,312","1,854","2,111","2,087","2,247","1,964","1,313","1,783","2,078","2,133","2,011",160,545,469,390,223,61,"1,848",3,68,927,55,75,38,10,0,19,2,3,0,429,12,101,26,6,1,42,"1,815","1,223",229,225,4,121,"1,802","1,512",197,97,9,10,0,"1,825","1,839",2,"1,841",78,56,372,75,23,13,45,18,429,419,291,21,"1,847",0,0,0,0,0,0,73,72,74,33,67,62
2336,Mining Engineers,502,921,582,282,310,562,382,921,572,271,253,501,502,801,571,280,250,562,68,224,172,131,85,26,707,0,361,77,22,14,24,0,0,8,1,0,0,145,1,28,6,1,1,8,696,560,38,52,4,28,683,644,30,22,0,5,0,702,702,4,706,53,14,196,30,89,12,4,5,74,143,79,8,707,0,0,0,0,0,0,26,24,25,10,21,18
2339,Other Engineering Professionals,470,845,840,"1,063",456,731,469,771,784,936,407,592,391,654,778,861,450,682,60,226,196,145,92,20,739,8,10,229,20,15,23,0,0,13,1,0,0,196,1,115,13,61,4,21,730,520,81,72,0,47,720,644,54,31,0,1,0,730,734,5,738,49,28,175,8,2,6,5,9,155,153,141,8,740,0,0,0,0,0,0,33,32,33,13,27,23
2341,Agricultural & Forestry Scientists,464,694,511,598,"1,332","1,101",433,334,436,368,"1,044",674,377,605,449,438,"1,236",932,31,189,182,150,94,40,686,181,0,33,1,0,81,13,0,0,0,5,0,208,3,60,69,7,1,9,672,498,61,34,4,74,671,587,55,34,4,0,0,680,685,0,685,42,42,89,55,0,21,120,40,47,112,35,81,684,0,0,0,0,0,0,43,37,35,28,47,40
2342,"Chemists, & Food & Wine Scientists","1,025",607,749,892,"1,573",996,858,540,520,767,"1,170",711,938,606,605,881,"1,571",774,39,288,308,198,128,38,"1,000",40,20,629,14,0,15,29,4,0,0,0,0,123,4,42,55,17,2,0,993,714,80,55,7,123,979,899,55,30,4,4,0,993,993,6,"1,000",70,197,157,4,9,23,45,46,88,230,80,49,999,0,0,0,0,0,0,20,35,63,41,48,60
2343,Environmental Scientists,566,"1,408",836,"1,400","1,608","1,667",200,"1,186",513,"1,133","1,190","1,001",530,"1,124",703,"1,046","1,606","1,584",52,441,371,229,141,22,"1,256",53,38,20,71,14,4,3,3,5,0,3,0,358,16,452,87,20,50,36,"1,235",987,75,81,14,81,"1,238","1,081",90,59,3,13,0,"1,245","1,203",49,"1,252",118,34,248,51,71,62,38,51,131,277,137,37,"1,256",10,6,12,15,30,26,110,84,82,129,162,165
2344,Geologists & Geophysicists,952,"1,423",876,444,405,496,832,"1,228",791,435,268,380,875,"1,363",863,436,404,427,66,226,171,152,110,31,755,1,410,10,6,0,5,0,0,0,0,0,0,166,4,92,43,4,1,0,743,687,11,16,0,32,746,721,19,8,0,0,0,748,748,0,748,70,16,236,20,24,13,8,3,77,173,101,13,754,0,0,0,0,0,0,6,6,5,6,6,6
2345,Life Scientists,636,913,820,811,389,553,306,419,442,297,190,204,569,851,636,596,388,451,24,141,134,91,70,10,469,9,0,23,19,0,3,3,0,0,0,0,0,171,0,70,115,33,18,3,468,420,18,15,0,14,467,439,16,5,0,3,0,462,466,3,469,48,12,113,6,3,6,8,4,73,121,71,3,468,0,0,0,0,0,0,0,0,0,0,0,0
2346,Medical Laboratory Scientists,"2,237","1,187","1,286","1,405","1,231","1,886",664,603,536,301,672,"1,032","1,921","1,034",817,"1,202",976,"1,354",85,496,349,320,197,21,"1,467",1,1,12,1,0,3,0,0,0,0,8,0,231,0,52,276,865,2,3,"1,457","1,340",51,27,0,31,"1,449","1,410",37,13,0,0,0,"1,460","1,460",0,"1,460",82,18,427,7,8,9,7,3,257,390,250,8,"1,466",0,0,0,0,0,0,1,3,5,6,8,9
2347,Veterinarians,"1,152","1,100",551,445,417,539,347,428,72,263,108,482,875,755,542,385,216,530,23,169,152,108,73,17,542,14,0,4,1,0,6,0,0,0,3,0,0,423,0,31,27,21,5,3,539,506,7,4,3,11,531,525,11,5,0,0,0,540,532,4,536,60,29,93,9,5,22,36,23,68,123,42,24,539,0,0,0,0,0,0,10,16,17,19,21,22
2349,Other Natural & Physical Science Professionals,973,917,801,615,"1,296",562,941,647,701,547,"1,191",453,973,861,548,561,"1,222",407,59,182,193,164,86,25,709,1,54,59,5,0,5,4,0,0,4,5,0,107,0,243,77,85,39,11,700,622,24,24,0,26,697,670,25,7,3,0,0,705,707,0,707,35,16,181,13,33,5,1,0,171,134,103,14,708,0,0,0,0,0,0,0,0,0,0,0,0
2411,Early Childhood (Pre-primary School) Teachers,"1,035",765,865,"1,729","1,444","2,085",117,38,48,48,166,260,516,443,464,629,841,"1,176",56,279,306,455,285,34,"1,416",0,0,0,0,0,0,0,0,0,0,0,0,3,5,76,"1,207",114,0,1,"1,409",947,367,30,8,41,"1,393","1,263",85,47,9,0,0,"1,404","1,387",22,"1,408",98,67,245,69,32,32,70,47,227,323,131,73,"1,415",0,0,0,0,0,0,32,34,38,49,56,150
2412,Primary School Teachers,"11,640","12,016","12,059","13,337","13,548","13,776","1,569","2,199","1,919","2,983","2,435","2,192","8,568","8,791","9,069","9,263","9,619","8,792",679,"2,820","2,485","2,783","2,634",276,"11,677",3,1,4,2,1,1,3,0,2,2,3,0,23,3,40,"11,521",29,3,5,"11,646","8,779","2,493",53,9,217,"11,551","10,930",445,177,28,10,3,"11,591","11,557",85,"11,642",704,513,"1,805",468,253,308,533,435,"2,019","2,613","1,434",582,"11,678",0,0,0,0,0,0,17,19,20,28,38,199
2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),108,306,556,736,362,355,10,130,69,339,177,62,99,234,354,670,286,230,43,168,91,81,43,8,435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,429,1,0,0,433,395,30,1,0,3,429,412,12,8,0,0,0,433,430,0,431,18,10,61,30,12,18,9,13,80,125,34,23,434,0,0,0,0,0,0,0,0,0,0,0,0
2414,Secondary School Teachers,"8,817","9,074","9,297","10,128","10,913","10,473","3,837","4,062","4,013","4,862","4,735","4,909","7,577","8,093","7,938","8,546","8,669","8,377",463,"1,891","1,818","2,166","2,322",275,"8,935",2,1,3,1,0,1,3,0,2,2,2,0,18,2,29,"8,816",24,2,4,"8,913","7,899",731,47,4,150,"8,831","8,469",261,116,14,7,0,"8,866","8,864",33,"8,896",511,386,"1,695",307,128,206,367,293,"1,279","2,113","1,216",427,"8,936",0,0,0,0,0,0,6,8,7,11,19,155
2415,Special Education Teachers,760,669,842,"1,635","1,522","1,104",207,132,261,295,377,303,369,280,657,854,"1,016",714,27,178,222,312,287,49,"1,074",0,0,0,0,0,0,0,0,0,0,0,0,2,6,30,"1,001",23,0,7,"1,072",857,144,27,5,26,"1,060",962,65,20,12,0,0,"1,059","1,050",17,"1,068",59,38,182,42,32,30,35,40,163,283,122,49,"1,074",0,0,0,0,0,0,3,3,3,5,8,67
2421,University Lecturers & Tutors,"2,832","3,520","2,372","2,517","3,354","3,640","1,764","1,920","1,224","1,305","1,940","2,091","2,087","2,095","1,739","1,674","2,318","2,457",237,571,720,939,810,211,"3,488",0,0,1,1,0,0,1,0,1,1,1,0,11,3,21,"3,416",11,1,15,"3,484","3,221",62,25,0,145,"3,454","3,283",110,61,8,0,0,"3,462","3,438",38,"3,476",265,55,"1,262",23,1,28,16,17,382,"1,024",403,8,"3,489",0,0,0,0,0,0,0,0,0,0,0,0
